#casa,#gols_c,#gols_v,#visitante,#pp,#iv,#iv%,#renda_L,#renda_B
América Mineiro-MG,1,3,Atlético Mineiro-MG,6.509,8.782,74,"R$ -31.785,00","R$ 91.850,00"
Fluminense-RJ,0,2,Flamengo-RJ,60,60,100,"R$ 500.000,00","R$ 3.177.575,00"
Paraná-PR,1,0,Bahia-BA,4.153,4.153,100,"R$ -16.494,02","R$ 77.635,00"
Grêmio-RS,0,2,Palmeiras-SP,26.566,26.566,100,"R$ 713.316,09","R$ 889.315,00"
Cruzeiro-MG,1,1,Vasco-RJ,19.226,19.499,99,"R$ 272.624,86","R$ 411.772,00"
Corinthians-SP,1,1,Santos-SP,27.586,27.586,100,"R$ 733.950,02","R$ 1.249.919,56"
Sport-PE,1,0,Athletico Paranaense-PR,13.348,13.348,100,"R$ 175.882,35","R$ 288.605,00"
Botafogo-RJ,0,0,Ceará-CE,7.744,8.618,90,"R$ -193.601,45","R$ 172.220,00"
Vitória-BA,1,0,Chapecoense-SC,5.256,6.046,87,"R$ -10.223,64","R$ 46.519,00"
São Paulo-SP,0,0,Internacional-RS,14.73,18.663,79,"R$ 115.901,54","R$ 324.896,00"
Santos-SP,1,2,Internacional-RS,8.124,8.124,100,"R$ 44.248,09","R$ 179.645,00"
Flamengo-RJ,2,0,Paraná-PR,54.526,54.829,99,"R$ 488.915,27","R$ 1.745.965,00"
Grêmio-RS,1,0,América Mineiro-MG,12.953,12.953,100,"R$ 265.373,16","R$ 372.021,00"
Ceará-CE,2,2,Palmeiras-SP,32.081,32.596,98,"R$ 648.866,99","R$ 959.576,00"
Bahia-BA,3,3,Botafogo-RJ,12.479,12.815,97,"R$ 23.310,34","R$ 189.549,00"
Atlético Mineiro-MG,5,2,Fluminense-RJ,13.413,15.189,88,"R$ 155.292,76","R$ 246.095,00"
Corinthians-SP,0,0,Vitória-BA,27.744,27.744,100,"R$ 709.381,40","R$ 1.212.745,36"
Vasco-RJ,3,2,Sport-PE,7.581,8.275,92,"R$ -27.217,70","R$ 161.905,00"
Chapecoense-SC,2,0,Cruzeiro-MG,6.088,6.088,100,"R$ 75.747,48","R$ 136.420,00"
Athletico Paranaense-PR,0,1,São Paulo-SP,8.257,8.257,100,"R$ 40.041,47","R$ 228.490,00"
Bahia-BA,1,0,Corinthians-SP,15.041,15.44,97,"R$ 110.060,11","R$ 303.678,50"
Internacional-RS,3,1,Vasco-RJ,19.733,19.733,100,"R$ 316.619,16","R$ 563.585,00"
Atlético Mineiro-MG,2,1,Ceará-CE,19.654,19.93,99,"R$ 198.182,08","R$ 303.035,00"
Palmeiras-SP,1,1,Flamengo-RJ,36.882,36.882,100,"R$ 1.765.875,33","R$ 2.598.847,44"
Botafogo-RJ,2,0,Athletico Paranaense-PR,10.048,10.893,92,"R$ -253.300,39","R$ 124.805,00"
Sport-PE,0,0,Grêmio-RS,14.43,14.43,100,"R$ 196.195,35","R$ 319.665,00"
Paraná-PR,1,1,Cruzeiro-MG,5.131,5.131,100,"R$ 6.685,87","R$ 110.050,00"
Fluminense-RJ,0,1,Santos-SP,6.745,7.878,86,"R$ -261.660,39","R$ 173.580,00"
América Mineiro-MG,0,0,Chapecoense-SC,4.757,6.113,78,"R$ -60.591,96","R$ 35.434,00"
São Paulo-SP,3,0,Vitória-BA,20.456,24.452,84,"R$ 242.449,05","R$ 468.038,00"
Athletico Paranaense-PR,2,2,Internacional-RS,8.184,8.184,100,"R$ 16.906,79","R$ 207.770,00"
Santos-SP,1,1,Palmeiras-SP,23.572,23.572,100,"R$ 325.473,81","R$ 748.458,00"
Vasco-RJ,1,1,Fluminense-RJ,11.381,12.305,93,"R$ 9.757,01","R$ 242.405,00"
Chapecoense-SC,1,1,Bahia-BA,7.036,7.036,100,"R$ 87.390,43","R$ 156.310,00"
Cruzeiro-MG,3,1,América Mineiro-MG,13.16,13.567,97,"R$ 193.054,87","R$ 294.127,00"
Corinthians-SP,2,0,Botafogo-RJ,19.83,19.83,100,"R$ 428.205,97","R$ 813.687,13"
Grêmio-RS,2,0,Atlético Mineiro-MG,20.311,20.311,100,"R$ 509.939,73","R$ 637.521,00"
Flamengo-RJ,0,1,São Paulo-SP,51.777,52.386,99,"R$ 325.186,58","R$ 1.588.687,60"
Vitória-BA,1,0,Paraná-PR,6.358,7.552,84,"R$ 11.008,34","R$ 67.088,50"
Ceará-CE,1,0,Sport-PE,14.558,15.534,94,"R$ 7.831,10","R$ 99.236,00"
Internacional-RS,1,0,Ceará-CE,19.277,19.277,100,"R$ 373.866,60","R$ 569.225,00"
Chapecoense-SC,0,0,Santos-SP,6.558,6.558,100,"R$ 98.426,09","R$ 167.150,00"
